#options: 1280x720 fps=19/1 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=5 brdo=0 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=0 threads=1 nr=0 decimate=1 mbaff=0 bframes=0 keyint=250 keyint_min=25 scenecut=40 rc=abr bitrate=10000 ratetol=1.0 rceq='blurCplx^(1-qComp)' qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40
in:146 out:146 type:P q:10.00 itex:1062 ptex:878 mv:407 misc:445 imb:23 pmb:19 smb:3558 d:-;
in:147 out:147 type:P q:10.00 itex:204 ptex:1449 mv:237 misc:422 imb:13 pmb:20 smb:3567 d:-;
in:148 out:148 type:P q:10.00 itex:1211 ptex:223 mv:190 misc:408 imb:12 pmb:16 smb:3572 d:-;
in:149 out:149 type:P q:10.00 itex:1026 ptex:329 mv:125 misc:400 imb:4 pmb:17 smb:3579 d:-;
in:150 out:150 type:P q:10.00 itex:1133 ptex:210 mv:143 misc:386 imb:5 pmb:15 smb:3580 d:-;
in:151 out:151 type:P q:10.00 itex:816 ptex:705 mv:114 misc:397 imb:3 pmb:17 smb:3580 d:-;
in:152 out:152 type:P q:10.00 itex:775 ptex:698 mv:134 misc:401 imb:4 pmb:18 smb:3578 d:-;
in:153 out:153 type:P q:10.00 itex:8186 ptex:2513 mv:753 misc:428 imb:18 pmb:22 smb:3560 d:-;
in:154 out:154 type:P q:10.00 itex:1154 ptex:5274 mv:727 misc:493 imb:6 pmb:61 smb:3533 d:-;
in:155 out:155 type:P q:10.00 itex:1319 ptex:5289 mv:779 misc:485 imb:11 pmb:56 smb:3533 d:-;
in:156 out:156 type:P q:10.00 itex:1513 ptex:4522 mv:706 misc:475 imb:12 pmb:56 smb:3532 d:-;
in:157 out:157 type:P q:10.00 itex:4280 ptex:2649 mv:722 misc:469 imb:17 pmb:53 smb:3530 d:-;
in:158 out:158 type:P q:10.00 itex:8565 ptex:3764 mv:1179 misc:468 imb:20 pmb:60 smb:3520 d:-;
in:159 out:159 type:P q:10.00 itex:425 ptex:8201 mv:998 misc:536 imb:8 pmb:92 smb:3500 d:-;
in:160 out:160 type:P q:10.00 itex:7872 ptex:3761 mv:1397 misc:522 imb:23 pmb:79 smb:3498 d:-;
in:161 out:161 type:P q:10.00 itex:4277 ptex:6630 mv:1387 misc:562 imb:16 pmb:110 smb:3474 d:-;
in:162 out:162 type:P q:10.00 itex:1017 ptex:7250 mv:1315 misc:618 imb:13 pmb:120 smb:3467 d:-;
in:163 out:163 type:P q:10.00 itex:4569 ptex:9289 mv:1300 misc:634 imb:25 pmb:128 smb:3447 d:-;
in:164 out:164 type:P q:10.00 itex:689 ptex:6940 mv:1113 misc:578 imb:16 pmb:106 smb:3478 d:-;
in:165 out:165 type:P q:10.00 itex:1873 ptex:6874 mv:1469 misc:664 imb:26 pmb:137 smb:3437 d:-;
in:166 out:166 type:P q:10.00 itex:5713 ptex:7506 mv:1474 misc:715 imb:25 pmb:161 smb:3414 d:-;
in:167 out:167 type:P q:10.00 itex:1538 ptex:6444 mv:1150 misc:748 imb:27 pmb:162 smb:3411 d:-;
